I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
I think we should do a Storychaser focused barcamp in OKC this summer... The ideas and energy from #podstock09 are contagious!	podstock09	podstock 09	podstock09
I started 'portupgrade php5-extensions' yesterday on my #FreeBSD box. Still plugging away	FreeBSD	FreeBSD	Free BSD
KoRn live at #rar09 @ #mtv on tv at 20:15  check that shit out!	mtv	MTV	mtv
all back from #groezrock... fact is: we were all present, but wasn't able to meet Nico!!! sad	groezrock	groezrock	groez rock
Ugh #Moose lost.	Moose	Moose	moose
Great. Twitpic is already down @ #phenway. #epicfail. Hope y'all are enjoying the show! Wish I was there.  #phish	phenway	phenway
@tommytrc WOW!! congrats man .. give my regards to mrstommyrc! IT willl be #AWESOME  #followfriday #tommybaby09 *coming to earth*	AWESOME	awesome	AWESOME
Handbags at twenty paces! That was slightly awkward :/ #caughtinthemiddle #argument	caughtinthemiddle	caught in the middle
Startup Family Kim: Tight, Bright, Full of Light  @WeGame @JoyceKim #K-Genius #Solid #TechFellow http://yfrog.com/6f3zgzj	TechFellow	Tech Fellow
@tommytrc WOW!! congrats man .. give my regards to mrstommyrc! IT willl be #AWESOME  #followfriday #tommybaby09 *coming to earth*	tommybaby09	tommy baby 09
@extremesenior Plus you know I can back it up  #maven #guru	guru	guru
stupid #silverlight --> Cant get $hit to work with Visual Studio...so much for the excitement. #Flash --> here I come	silverlight	silverlight	Silverlight
#newmoon is a trending topic hmm I wasn't a fan til @dalegacy put me on it. The movie is gonna b bomb. Jasper is my fav.	newmoon	new moon	New moon	New Moon
#GuiltyPleasures Scratching the ring & having a sneaky sniff  Ooo smells like sausages lol -	GuiltyPleasures	guilty pleasures
#stopniley and watching secret life online. golfing tomorrow. and maybe amanda+nicole time?!  i misss my lauren	stopniley	stop niley
@johncabrera #journalist and #photographer! I like to document everything, and I love writing	journalist	journalist
Wanted to download the new #trvsdjam mixtape "Fix Your Face Vol. 2 - Coachella 09" in exchange for one tweet, BUT IT WONT LET ME	trvsdjam	TRVS DJAM
#nhl looks like it'll be a "why i oughta" series - sweet	nhl	nhl	NHL
@KimSherrell wow Kim. You're like the twitter #matchmaker	matchmaker	Matchmaker	match maker	matchmaker
Has had a great weekend. Been playing with Sophie, watching @joshuar1313 play #CoD5 and listening to music. Nice relaxing Saturday night!	CoD5	CoD5	CoD 5
@rotjong time flies when your listening to #twitteradio, of is #twitterradio time short	twitteradio	twitteradio
Looking like it's going to be another late night working on #Sitecore for my pre- #Wimbledon holidays next week.  #fb	Sitecore	Sitecore
LOL #myspace #retard identification tip #16: you prefer reverse smileys  @ceetee I am reverse smiley fan ((-; (via @kpsofts) LOL	retard	retard
@jabberjim I KNOW! I'm PUMPED! this is amazing, i love this city and my #OrlandoMagic  #MagicTwackle <3CB	OrlandoMagic	Orlando Magic
@AlexLJ alas I think me may have the see flu that be going round this fine ship arhhh  #Twittarrr	Twittarrr	Twittarrr
Am talking to the #TiVo docs now, last chance is probably a PSU transplant. Trying to decide how aggressive to be with treatment....	TiVo	TiVo
Happy to read that my talk at #CloudViews on #aws #s3 #ec2 #CloudFront was very well received. Thanks! Additional comments?	CloudViews	Cloud Views
@mediahunter yeah but at least they are using twitter! baby steps  #reinvention	reinvention	reinvention
@ConnieBrockway #sqr Very, very cool. Does she lose her fortune on the turn of a card? Is she like the Duchess of Devonshire, a gambler?	sqr	sqr
@DavidMRainwater I took some mineral oil last nite.  #constipation	constipation	constipation
@chrismessina Just missed the #OWF deadline by two hours... is it possible to send you my application via email or any other means? Hmpf!	OWF	owf	OWF
is cutting his albums to single mp3 files with #cue-splitter, thank you @niksy for link and @chevap for noticing the problem	cue	cue
@Nerdsnacks w00t w00t yay  #blogroll	blogroll	Blogroll	blogroll
I have absolutely no luck with the charcoal grill. Guess I'm a gas grill gal all the way.  #grilling	grilling	grilling
#honestsundays uhhhh...im sorry but im not feelin the Ego remix  i love it aint my girl, but not so much ego...i still love him tho! lol	honestsundays	honest sundays
#TheRescue was a success!	TheRescue	the rescue
I feel so unloved, I only have two followers on twitter.  #twitter, #tweet, #followers, #popularity, #followers	followers	followers
Being drawn into the world of Microsoft #OneNote... The OneNote to bind all projects, next actions into ONE..	OneNote	OneNote	one note	One Note
I have to write my exam today ... but i really have no concentration today ...  University VIDEO http://bit.ly/TKCco #iranelection #tehran	tehran	tehran
#HeHas2muchSwagga if he is the Prez of the US & CNN is trying 2 define his swagger. Actually... a US President can't have 2 much swagga	HeHas2muchSwagga	He Has 2 much swagga
Not so much #comedianmedicines but I need to get John Travoltarol out of my head so I can think of a proper one. Voltarol being the med	comedianmedicines	comedian medicines
Hey Cempakens! Do some extra world saving on my behalf today  stop making doilies! no one needs lacy paper thingies... #cempaka_STW	cempaka_STW	cempaka _ STW
Miami Miami!!!! American Black Film Festival at the end of June! Baabay!! And other festivities!! Good times good times!! Wahooo!!  #abff	abff	ABFF
#Britain's Got Talent #Susan Boyle Finishes second  http://bit.ly/LYjV7	Susan	Susan
@ricdes well, one more reason to go there more often.  #portugal	portugal	Portugal	portugal
@FoodBookReview we have to get you a special "foodie" avatar pic for your twitter page  calling all #artists !	artists	artists
Hey #TechPB  I have exams tomorrow  FML  (TechPB live > http://ustre.am/1z9Y)	TechPB	TechPB
I...I so can't watch the #Torturewood feed right now. One trauma at a time, please.	Torturewood	Torture Wood	torturewood
@Joddiiee gtg.sleep  #itvfail #mugglesspace #wang #chatfail #screw:15	chatfail	chat fail
#downtime felt like the end of all our lives	downtime	down time
Having an issue with an award flight via JetBlue... in a quandry about what to do--  didn't mean to rhyme btw! Help #Jetblue	Jetblue	Jetblue
Heading back to the airport! /ermany was really cool!  #DSAS09	DSAS09	DSAS 09
#tweetaporsms  6500 sms's	tweetaporsms	Tweet a por sms
And now - Museums, potentially!  #ahsunday	ahsunday	ah sunday
Ich bin zur Zeit arbeitslos. = I'm currently unemployed. [ #German #phrases ] - Well, not me - but nowadays many people are	phrases	phrases
back from mozilla maemo weekend (#mozmae), thanks to keesj and jeremiah libliqbase has a proper -dev package	mozmae	mozmae
i think #alltimeblow should trend.	alltimeblow	all time blow
http://twitpic.com/6p5st - #CantonFirstFri They have bands in our street so they couldn't have the hoses come down it.	CantonFirstFri	Canton first fri
Art by strickland - RedBubble   http://bit.ly/wjajg // What?! Rats?! Yes - And how cute!  #photography #redbubble #photogs #rats	rats	rats
#thingsthathurtthemost : hearing my grandmother cry	thingsthathurtthemost	things that hurt the most
@snugnluv @mchenwears @glorialynnglass @nancyoverbury Thanks for the #fridayfollow. Right back at ya!	fridayfollow	friday follow
@mustbemary I was gonna play your wedding song....  #sosickofhockeytoo	sosickofhockeytoo	so sick of hockey too
Spent the day on my bed playing #Xbox Live Arcade. Bit of the oul #Tetris, bit of #Bomberman and a bit o #Worms. Now I'm eating chocolate	Worms	worms
that was suppsoed to be #nomaintenance	nomaintenance	no maintenance
if any of you Arena people at #ISC09 have insight on CTI, especially with Snom phones, I want to hear about it	ISC09	ISC 09
@cosRobPerkins you are so lovely  I KNOW, UGH, IN LIKE AN HOUR, #iswearididntlearnthisatall  #s2istheworst4chaptertextbookever #killmenow	killmenow	kill me now
There should be a #fakeceleb watch where you can report fake celebs on twitter	fakeceleb	fake celeb	Fake Celeb
@vijaysankaran try using #IndiaGovt for anything Government related	IndiaGovt	india govt	India Govt
@brittanystreet U already know   Putting in work!! Feeling good 2day on this beautiful #SUPAFLYCREDIBLE Saturday!! U ready for Monday???	SUPAFLYCREDIBLE	SUPA FLY CREDIBLE	Supafly credible	SUPAFLYCREDIBLE	SUPAFLY CREDIBLE
I never run out of iluc messages to send you coz you're soooo great!  - http://ilikeucoz.com/m/1014 #youregreat	youregreat	you're great
Be sure to check out the new song by @JeffRamer called "Right and Wrong" at http://jefframer.com. Leave comments  #musiclover #musicmonday	musiclover	music lover
#mscoscon lightning talk with ms sketch pad	mscoscon	MSCOSCON
Abdelkader! #GoWings! This kid is playing out out of his mind!	GoWings	Go Wings
"The Complete Black Books" just arrived ... looking forward to some entertaining #tv nights!  #dvd	dvd	dvd
sooooo, I had a **dream** that I was at mile 92 of a 100miler....wonder what this means, lol!!  #dream #ultra	ultra	ultra
http://www.babelgum.com - A link to said film festival if anyone's interested in 'The Linguists' or any other film on there #linguistics	linguistics	Linguistics
@fan4lyf remember it's your game tomorrow  #scramblesunday  or is it #sundayscramble check our site bio -well hope u think a good1 nite	scramblesunday	scramble sunday
@ditc6 Re: #Otalia #GuidingLight madness. I blame #CrystalChappell. She's the reason we're all (most of us) on Twitter to begin with.	GuidingLight	Guiding Light	guiding light
Re: my last tweet -- the Capital Expo Fest goes from June 4 - 6, not June 5 - 7!  Make sure you get that #funnelcake, Lex folks.	funnelcake	funnel cake
#thankyouGod for all the mothers in the world who doesnt know how to cook salsa but will be willing to try for their children	thankyouGod	thank you God
2nd Western Digital #hdd breakdown at work in 3mo.  Was about to try WD for my 6th Terabyte at home but now will stick to safe & tested	hdd	HDD
Yes! Stacked 122 sheep and have new nickel record of 3703.  #sheepstacker	sheepstacker	sheep stacker
Heading to the house for a little rest before our @blogstomp trip to Cali. Gonna go take some #hold em $ From @Becker	hold	hold
Working to add Twitter, Facebook and LinkedIn buttons to the #Vistage public and private websites...exciting stuff	Vistage	Vistage
Searching for Bhoomi songs online and not getting it  #Kolkata	Kolkata	Kolkata
@OllyNewport #AdWords Vouchers seem to be flying around all over the place at the moment - don't spend it all at once!	AdWords	AdWords
Friday reminder: if you know anyone in Boston area looking for a tech writer, think of me!  #bostonjobs	bostonjobs	Boston jobs
Ok ok the "Pic n Mix" link - http://bit.ly/STa8t  #woolworths - "Your Bag is dangerously empty"  dangerously?	woolworths	wool worths
On the train to Sheffield, farewell party for Keith Tudor & meet some #Temenos peeps, I love travelling by train	Temenos	Temenos
@fossiloflife Attn all #mallus , Ella divasayum @CruciFire indae aduthu hazir vakyanam, ellae avan elavarkum #shavam hashtag vachu tharum	mallus	mallus
For #exploracoeur #experiment, @Luisetti is added here : http://bit.ly/4gBnH . Use the 2 links on your line and start your experiment	exploracoeur	exploracoeur
@tommcfly Take a look at our website! We wrote a song for you guys  #peidonacara if dont like it http://back2wonderland.blogspot.com	peidonacara	peidonacara	peidona cara	peido na cara
Hotel giving me the runaround  This is exactly what I meant by inconvenient. #bonaventure	bonaventure	Bonaventure	bonaventure
@RX2904 standing in front of my wardrobe trying to decide what to take to Italy coming saturday. #weatherforecast #crisis #breakdown	breakdown	breakdown
#tears Still errors with this god-forsaken Fix-it lesson we adopted from another division. Terrible work.	tears	tears
ended up getting treated  #CCD	CCD	CCD
@Aylwen the movie with Gwyneth Paltrow is much funnyer than the book  #emma #jane #austen	emma	Emma
@alessandrop65 Did u watch the Juve game? Did they play well? I'm a huge #juventus fan too	juventus	Juventus	juventus
@happylovesChuck First #chuckmemonday (and the whole first #chuckmeweek) sure can help you  And u know, anything u need... we're here	chuckmeweek	Chuck me week
#tweezy in one of the edit rooms here at speed  http://twitpic.com/6gk9q	tweezy	Tweezy
Hello I'm Tyler Durden and I like young boys. Very young boys!!  Yummy! #berkshire	berkshire	Berkshire	berkshire
morning people! Great week ahead with some #WCF, #Elections and a private project	Elections	Elections
And ofcourse it is my least fave things to do today..but I have to  #ER shift	ER	ER
i feel like im talking to myself ..so help tweet #skadworldwide so it can be on the trending topic its for a good cause	skadworldwide	skad worldwide
testing #talkingshop (1,2)	talkingshop	talking shop
Summer in #Glagow, #Scotland - lots of rain, front lawn (finally) growing like crazy, so much rain lawn never dry enough to cut properly	Glagow	Glagow
@evernote helped me a lot with gathering information for my research paper and organizing it,  #evernote_eyefi Would love to win!	evernote_eyefi	evernote _ eyefi
@SarahHorvat check the "web site" in my profile  #tangodance	tangodance	tango dance
@nopstrup Do come to the signin etc. for #dccph. Might not be as geeky as the rest of the weekend but it will definitely be social	dccph	DCCPH	dccph
Tonight we are finally using our free warwick arts centre cinema voucher we won at #brumtwestival	brumtwestival	brumtwestival	brum twestival
@wellington_grey well... I might try this, too, some day... who knows?  #earlyup	earlyup	early up
#FollowFriday @abduzeedo @fabianome @paulogabriel @GisMullr @Paul0v2 - All the cool people from #abduzeedo	abduzeedo	Abduzeedo	abduzeedo
Sun, white beer and good company! Life is good at the Heineken Square  #vrijmibo  http://mobypicture.com/?omslqw	vrijmibo	vrijmibo
@choosespun haha, so badly i want to see her dress now! ...but i have a delay of half a day til nbc uploads it online.  #nocable #cheapo	cheapo	cheapo
31 days till #MADONNA @ The #O2 Arena, 34 days till MADONNA @ The #M.E.N Arena & 49 days till #MichaelJackson @ The O2	MADONNA	MADONNA
#twalk means to eaither be tweeting while walking or tweeting while stalking... either way, the both sound pretty dangerous. lol	twalk	twalk	Twalk
#dontyouhate The http://kkk.com/ ? I sure do  #peoplewhosuck	peoplewhosuck	people who suck
is working on developing a blog all about #PARENTING and #PLAY with young children.  Stay tuned!  Enjoy your #children!	PARENTING	parenting
I'll be watching this Ciara performance back on Tivo a few times    #vmaj	vmaj	vmaj
@rustycharm Def surprising for me I tell ya  Sorry haven't been round or keeping up the #btat... but things are a changin	btat	btat
Noooo @CMarzi84 pinkeye is super contagious! U need antibiotics! Or u can spread that hot pink eye through ESPN!! Or not. #notadoctor	notadoctor	not a doctor
The line at #shakeshack is ridiculously long for 3 in the afternoon.	shakeshack	Shake Shack	SHAKE SHACK
#hobocast know what I love about Warhead > New Jam? 25:52 in length...	hobocast	hobocast
#StepupforMS on this Sunday - support a good cause by sponsoring yours truly  http://bit.ly/REzUt	StepupforMS	Step up for MS
This is too cute... I heart our Pres  // Barack Obama writes excuse note for 4th Grader http://bit.ly/yNeF6  #THERUNDOWN	THERUNDOWN	THE RUN DOWN	THE RUNDOWN	The Run Down
I like what #PowerTwitter ( http://bit.ly/8Svt ) does with Twitter on #Firefox	PowerTwitter	Power Twitter
@motherlove_ Thanks for the mention  #Followfriday	Followfriday	Follow friday	Follow Friday
Have any of u seen a FURIOUS Latina??? Trust me, u'll NEVER want 2 hit the wrong buttons!  #HumanRights #Baby #Defender #Fight #Activism	Baby	baby
@AJCann logo - yes a small one  #jiscriSMaLL but I'm hopeless at design.	jiscriSMaLL	jiscriSMaLL	jiscri SMaLL
@NxEW   it keeps linking the podcast on this page keeps playing Episode 4 (which is very good!)... where can I find episode 10? #nxew	nxew	NxEW
Waiting for #QuickPwn... like everyone else	QuickPwn	QuickPwn
@ubringmejoi #imaddicted Tea & music... & just maybe my Treo & laptops	imaddicted	I'm addicted	i'm addicted
All a Twitter cover approved. Dead sexy.   #allatwitter	allatwitter	all a Twitter
is mourning the loss of #roleplaying books..   Moving countries stinks on some level..	roleplaying	role playing
@miles_ahead been there, done that... twice  #playspymaster	playspymaster	play spymaster
@blindcripple I've just gotten into the whole hoodie thing - & the need to participate in corruption & bribery followed  #momentofweakness	momentofweakness	moment of weakness
rt @mlbCoz Torii Hunter left the game with bruised ribs - will be re-evaluated on Tuesday - #Angles #roto	Angles	Angles
@producergirl omg, ur timing 4 Italy trip = perfect! Can't WAIT 2 see Lance Armstrong footage! Miss u guys!! #FridayLunch cancel 2day	FridayLunch	Friday Lunch
Support Iran and pray that all the innocent murders will be avenged and that Iran will have peace. RIP Neda  #neda #freeiran	freeiran	free Iran
@pjozefak nice  #original #copy	copy	copy
#CSI Miami walking on footpath	CSI	CSI
if you haven't already, vote for @rickbakas as he competes for #averygoodejob   http://bit.ly/kAR2y (need to vote via emailed link)	averygoodejob	a very good ejob
To all pilots: make sure you have enough fuel in your tanks today  #f1 #Massa	Massa	Massa
@tweenkle77 I was catching up a bit on work, and taking it easy  I see the fail whale is in full effect tonight! lol #FailWhaleBeGone	FailWhaleBeGone	Fail Whale be gone	fail whale be gone	Fail Whale Be Gone
@EvilGayTwin  cool day off tommorow then #luckyou	luckyou	luck you
i really like black keys  don't let them get inside of your head #jonaslvatt	jonaslvatt	jonas-lvatt	jonas lvatt
#TREYSONGZMUSICMONDAYS Trey Songz - LOL  (feat. Gucci Mane and Soulja Boy) ... next U Belong To Me (snippet)	TREYSONGZMUSICMONDAYS	Trey Songz music mondays	Trey Songz Music Mondays
No growlers  but had a CPB Pilsner & a St. George IPA.  Also, set up a possible interview for later this week. #obx09	obx09	obx09	obx 09	OBX 09	Obx 09
been to #skate in People's Park before the rain. @temporaryart looking great - worth a visit. Mo out to #HBPH now, time for food	skate	skate
Sad that I won't be able to make it to employment.nil? this weekend   #rubyjobfair	rubyjobfair	Ruby Job Fair
Why is there not a bigger buzz around Linked Data at #oai6 ? Hardly mentioned in the conversations I have taken part in.	oai6	oai6	OAI 6
@Kitty1876 ick! I'm sorry, hope u feel better soon. Play the webinars & listen as u lie in bed --it's a great way to be productive  #smtb	smtb	SMTB
#meatfreemonday http://www.supportmfm.org/	meatfreemonday	meat free monday
@tsongvilay1 Maybe I meant MVP Mud wrestling with #SPBabes as the sponsors! I hope @WonderLaura @joyknows will come so to protect me	SPBabes	sp babes
opera.com/freedom .. almost there  #reinvent	reinvent	reinvent
copy-paste from http://tr.im: "tr.im is currently unavaiable for scheduled maintenance." sucks + can't spell  #trim @twitter.com/trimurl	trim	trim
God i hate #Fox. Buggers cancelled another good show with clifhangers.  #Dollhouse was just getting intresting  Same shit with #Darkangel	Darkangel	Dark angel
I'm pretty sure twitter made it so anything with douche in it doesn't trend  irregardless #aaroncarterisdouche	aaroncarterisdouche	aaron carter is douche
Hey #crowthg A repeat of yesterday. I see only 3 cygnets left.    (Swans Nesting live > http://ustre.am/2LCR)	crowthg	crowthg	Crow THG
@ridhi_07 best time for fedex to go back home wid trophy..  #rollandgarros ..	rollandgarros	Rolland Garros
@mwot didn't get an invite  made no difference to me personally (@demorningwakeup) #cba	cba	CBA
@whitespider1066 #beargryllsmyhero  not gay just hetro man love lol	beargryllsmyhero	Bear Grylls my hero
i don't like the serial version of #seetaaurgeeta ! it's destroying the FILM's IMAGE!  #bollywood #fb	seetaaurgeeta	Seeta aur Geeta
#Pidgin 2.5.6 + #GnuTLS 2.8.0 = #gtalk woes (TLS packet with unexpected length received)  #jabber #xmpp	jabber	Jabber
@mrsbee2 Check it out - @kingdommama is hosting a fun blog contest & I'm judging... I want you to enter.  You have talent   #TBGT	TBGT	TBGT
Took 5,683 #steps today fell asleep on the couch i think i maybe getting whatever @wheedlekat has	steps	steps
Oh no #fullservice is going down in trending topics   #fullservice #fullservice	fullservice	full service
Doing a little bit of real work/write ups and watching tv! No chat tonight  #busybee	busybee	busy bee	busybee
#iphone is working with #vista now. and yes...#apple sux. it seems to be that my #powerbook is outdated. not enough #usb power	usb	USB	usb
I'm home from the #wafflehouse I go back in 7 short hours  to work 2nd shift!	wafflehouse	Waffle House
#halfbloodprince	halfbloodprince	half blood prince
i asked a friend why she was staring at a bottle of orange juice. She stopped & looked up at me and said, 'it says CONCENTRATE.'  #humor	humor	humor
Just had the update, but no differences? Security fix apparently, all Apps still work fine  #cupcake #andriod #update	andriod	Andriod	andriod
@brennl We can celebrate #brennaghday on June, 19th. Are you in? Tell alla your friends	brennaghday	brennagh day	Brennagh day
#torchwood[stock] with @calyndra over. I heart Something Borrowed so, so much. Lots of Jack/Gwen moments for me to latch onto!  #Torchwood	torchwood	torchwood
I can't make it to Meet in the Middle in Fresno today  #MITM4E	MITM4E	MITM 4E	MITM4E
Man my wrists are getting sore, I'm so not used to shooting without a grip/1-series bodies anymore  #imustbegettingold #wantmassage	imustbegettingold	I must be getting old
@VeronicaDLCruz what is #erics status on when he can be moved?  any word yet?	erics	erics
Digging some #Hapa music on my new iPod Touch.  Aw yeah.	Hapa	Hapa
I wanna go home,but I don't wanna go to work  sadly work is the 1st thing I have to do after I land. #Confessions #of #a #corporate #slave	Confessions	confessions	Confessions
http://tinyurl.com/nd9w7x #honda #fuzo damn... i want this! where i can put a preorder?	honda	Honda
@santyadh hope that will soon change though!  #boikotmalaysia LOL	boikotmalaysia	Boikot Malaysia	boikot Malaysia
damn!  Can't go to screening of ZNews at Cape Town Book Fair because I'm at work.   #ctbf	ctbf	ctbf	Ctbf	CTBF
#tmituesday I have never had an orgasm from penetration.	tmituesday	tmi tuesday
I think Lost had the BEST finale this year, it was totally awesome  #tv #lost	tv	tv
@LittleFletcher how about #GetGiBackInTheLead AND #PushCarrieUpALittleToo  x	PushCarrieUpALittleToo	Push Carrie Up a Little Too
This time last year I was watching the #Super14 #rugby final in New Plymouth in New Zealand...I really miss NZ	Super14	Super 14
@aircrash Every night is grapefruit night for me.  It's also #ChuckMeMonday , #AlanWilder'sBirthday & unofficial official #Recoil day!	Recoil	Recoil
So the acai berry and raw cold pressed cacao together make one heck of a couple  #Superfood http://bit.ly/3XXpdc #antioxidants galore!	antioxidants	antioxidants
BYOB = Bring your own bitch #Tonightshow #Jaywalking	Jaywalking	Jay walking
Come over to our Neverwinter Nights 2 boards and ask you questions. Or just browse thru our 600+ content pages! YES 600+!!!  #nwn2	nwn2	nwn 2
@TheMandyMoore been listening to #Amandaleigh and loving it!	Amandaleigh	Amanda leigh	Amanda Leigh
@wildstorm #webcomics In that case, have some links.  Berserker = Urban Sword & Sorcery http://www.berserkeronline.com	webcomics	webcomics	web comics
@strawfoot @markn @johnhalton No, seriously you guys, I /wanted/ to kick Monday off with #starwarswithaddedpants spam.  Really	starwarswithaddedpants	star wars with added pants
@TimAyres I find it confusing that 40% of the votes can get you 60% of the seats under FPTP.  Just sayin   #bcstv	bcstv	BCS tv
so, after all that fuss #digitalbritain is just a stealth tax and a clamp down on file sharers	digitalbritain	digital britain	digital Britain	Digital Britain
Getting packed for my drive to #Hollywood this morning. My boys r going w/ me as well. I sense a #Entourage moment coming on soon	Hollywood	hollywood
mystery solved: #MBP display blackness is due to screwed up graphics card, chip dead... a week to repair though  bad news for the show	MBP	MBP
It's Day 6 of Entrepreneurs do it yourself marketing month - Yes, some entrepreneurs work weekends   -  http://bit.ly/rFIUg #ediymm	ediymm	edi ymm	ediymm
Auto waschen  #clean  http://twitpic.com/3pgaa	clean	clean
@ericaogrady It's on I'm avail in the aft  #GS	GS	GS
#house kinda wins #leesan. i probably go with house season one	leesan	LeeSan
fucking #mangento...make me in trouble	mangento	mangento	Mangento
Nice typo.. Supposed to be @_raz_ in my last tweet. I seem to have dollars on my mind today  #code #typo	code	code
#DMCwmnSHOW we've having crazy awesome time at the women's show from rachel and haley	DMCwmnSHOW	DMC wmn SHOW
yep, say hello to $1.29 #iTunes downloads, the #new #standard for #high-quality, #over-priced #digital #downloads. #Sad, sad day.	Sad	Sad
FeedReader takes 200Mb RAM  Any replacement recommendation will be more than welcome #rssreader #rss	rssreader	RSS Reader
this is a trending topic  #BNDYearbooks	BNDYearbooks	bnd yearbooks
hey #gardeners i'm looking for some help. i have no idea how much to water my vegetable #garden.  any ideas/guidelines?	gardeners	gardeners
@bsouthern hey there...I'm goood. Being PR lady (#writermode) today so I'm only in and out on Twittahhhh.  how's you?	writermode	writer mode
ditched by 2 study groups although one I was only in for a little so its ok.. I guess  #finals #stress	stress	stress
PLZ pray 4 @hipcindy 's dad.  Cancer sucks  #prayer #God	prayer	prayer
@LangeFamily Don't forget to help JonthanJay!  Add #getJonthanjaytomiley to your posts!  Let's get the trend going!!	getJonthanjaytomiley	get Jonthanjay to miley	get Jonthan jay to miley	get Jonthan jay to Miley
@ckieff LOL.  Silly #youcanbemarried.  #istillloveyou.   #ijustdon'twantto .. you know	istillloveyou	i still love you
my cousin is at#summerjam &she text me sayin jayz is abt to perform  i wanna go :\	summerjam	summer jam
Well, I'm a little disappointed in #familyguy tonight. The Old episodes are just not that great!! Boo hoo	familyguy	family guy	Family Guy
Thank goodness it is finally Friday.  It is time for a #threedayweekend.  I do wish I could be at #bratfest in Madison, though.	bratfest	Brat fest
@NotSirAlanSugar you need to join in with #twitprentice!	twitprentice	twitprentice
@SUAREASY Hey there lovely...  Can you retweet #HbdPeteFobr for Pete Wentz's birthday? It'd make me and a load of people stoked. TY!	HbdPeteFobr	Hbd Pete Fobr	Hbd-Pete Fobr
Looooong day yesterday getting to hotel for #balticon setup. Now doing some planning for today's chaos	balticon	balticon
i'm on the http://wefollow.com twitter dir under #potter #writer #historian but wonder if I should change the last to #intlwomanofmystery	historian	historian
I forgot to finish my homework due yesterday  #blameneolib	blameneolib	blame neolib	blame Neolib
@logicalharmony FTW! I've been working on coreographing a dance to that song. Love it.  #LadyGaGa	LadyGaGa	Lady Gaga
@lilyhashtags #kyliedinners All Ice-Tea (...Is You, from 'X')	kyliedinners	kylie dinners
@TS_Elliott Nice Weather, here in #Switzerland it is not beautiful....	Switzerland	Switzerland
#Turkish Grand Prix , anyone but Button.	Turkish	Turkish
sketchy about the idea of doing vocals tomorrow night for @quietsteps .. when my tonsils are flared and gums swolen  .. #giveup	giveup	give up
got my mest tickets, now it's time to get it all right for the game #letsgopens	letsgopens	let's go pens
A Friend once said that the BEST WEAPON to use for a fight in #Hong #Kong is a MOBILE PHONE	Hong	Hong
@kvbuckley I don't know enough about #Sotomayor, but she made a big boo-boo talking about making law.  Doesn't know what 3 branches do?	Sotomayor	Sotomayor
#Razuna features now a Explorer-Tree. Yeah, we listen to our community  Open Source Digital Asset Management http://razuna.org	Razuna	Razuna
@hantu #tWiitKL is set for 13th June  will def want you there to have fun bsides bringing the mario kart	tWiitKL	tWiit KL	tWiitKL
@Mkenn076 #iheartsyousohardicouldcry <3 Gracias. La canta es muy bonita.	iheartsyousohardicouldcry	i hearts you so hard i could cry	I hearts you so hard I could cry
#examen09 Succes allemaal..!	examen09	examen 09	examen09
