By @skurfuerst Extbase and Fluid are on the #-Typo3 core list now	Typo3	Typo3	TYPO3
Damn...hooked up to chemo, started my shuffle...and no #dongle to be found  wait for tonight i guess...	dongle	dongle
holds her #heartballoon >~~~<3  (@mechtroid @elliottcable @caffeinejunky)	heartballoon	heart balloon
Ok, awake and I've turned off ALL #spymaster notifications. Sorry for the annoyances!!!	spymaster	spymaster
Oh man... I wanted Chuck to win. Oh well    #UFC97	UFC97	UFC97	UFC 97
@jaymcc i checked and the twittermusical.com domain name is already registered  #twittermusical	twittermusical	twitter musical
@mrmwrites nope! the shortest #COBOL Code goes down to some where around 5 lines!	COBOL	COBOL
is visiting Mr. Taub, 84yo Romanian Holocaust survivor. Helped him write his bio/fam history a while back. He is very ill.  #familyhistory	familyhistory	family history
is a little sad that #webdu is over. Had a blast and even placed 9th in the trading card game comp  Thanks all! I'll be back next year	webdu	webDU	webdu	w.e.b. du
Also there was a TESLA COIL   #makerfaire  http://yfrog.com/59w1rj	makerfaire	maker faire
?sleep I cannot. n33d p41nk1LL3r5 0r 5L33p1n6 p1LL5! Asdfghjkl! #sleep  this is rubbish!!! Can't turn brain off!!	sleep	sleep
@sarah_connors  Nice! And now I feel old, too.   #Bruins	Bruins	Bruins
Pussy out (like a boss.) Ditching out on my bandmates to sleep    #whatcotyisnotdoing : selling merch or wearing a tie.	whatcotyisnotdoing	what COTY is not doing	what coty is not doing
@barkenshoo i wish i could watch #qanda already as well. i missed it	qanda	Q and A	q and a
@evregirl That's my fav too!  #starwars #returnofthejedi	starwars	Star Wars	star wars
doh, whatever changed, it wasn't the addition of new videos  #auremix	auremix	au remix
@briandonahue Negative. Was planning to go for the morning but couldn't even pull that off  Triple booked today. #phillycodecamp	phillycodecamp	philly code camp
#3wordsaftersex	3wordsaftersex	3 words after sex
My back and neck are killing me. #spoonies  Hope it just means I shopped to much today and not a flare coming on.	spoonies	spoonies
I really really miss not having nuf time 4 conversations w my #gfree tweeps. Haven't had any time at all 4 kitchen chemistry..	gfree	gfree	g free	Gfree
@keeperofdreams And hey, there's also @bacontoday @BaconUnwrapped @baconsalt @ilovebaconsalt @baconvodka @baconinja @mrbaconpants  #bacon	bacon	bacon
Another loser: Thanks to @alephhaz I lost the game  - #lostthegame http://tinyurl.com/p4joss	lostthegame	lost the game
@shawndibble No, not aware of anything for Chuck or Doctor Who fans like @bsgrewind and @scifimovienight. No new #DRWHO til 2010	DRWHO	DR WHO
Listening to some really good #deephouse and drinking red wine. Wish there was some good #electrohouse for this weeks EVS but there aint	electrohouse	electro house
Had a great #eurovision night with @benjaminbrum, Mike & @mazzawoo. Now time for leftover brownies for breakfast	eurovision	eurovision
Applying to #IATAN certification for #Letmego -> Is hard to  believe that it cannot be completed online	Letmego	Let me go
#3aaah	3aaah	3 aaah
Having had a First Hand experience being an outsider makes me eligible to rate the Updates. Its hard for an outsider to catch up  #bck5	bck5	bck5
@poetikpoeta hey mama! I'm doing doing..got my pandora going on #MusicMonday  how r u?	MusicMonday	music monday	Music Monday
@raouldejongh @MybrandedlifeTM @nickjackson @jontyfisher Ok well come to the next #27dinner & ask the #vitaminwater guys? As will I	vitaminwater	vitamin water
@ccollinsmith You didn't do the trip to Chicago for #symp09 ?    Robbed!  Make up for it with a trip to Sydney instead	symp09	SYMP 09	symp 09	symp09
off to print #dissertation for 10pm. There had better be ink/paper	dissertation	dissertation
@inrsoul Thanks for the tip! But dread  #Nambu	Nambu	Nambu
Facing the fact I might not be leaving #asylum in B'ham for over another hour. 2+hours drive in the dark	asylum	asylum
And so will Three, evidently.  #doctorwho #thegreendeath	thegreendeath	the green death
ThePirateBay is down! I hope it's just temporary  #torrent #bittorrent	bittorrent	Bit Torrent	bittorrent
@TomGriffola Not a fan of the Bulmers, but the Magners pear is AWESOME, I want slush puppy though!  #Hurryup #classy #omgimpatient!	omgimpatient	OMG impatient	omg impatient
@Bookfoolery they used to have a Book Expo in Canada (Toronto) but the cancelled it this year  #BEAtwittyparty #BEAtwittyparty	BEAtwittyparty	BEA twitty party
@AlexGWells They're determined to send you over the edge   #letwellshavespotifybackonhercomputer	letwellshavespotifybackonhercomputer	let wells have spotify back on her computer
I'm so not looking forward to tonight's #icehockey match (Canada-Finland). I'm afraid our boys will get their asses kicked.	icehockey	ice hockey
@VeganMudblood Blaming too many tweets on Oprah & her new followers...its a theory. Poor whale has been popping up all nite  #overload	overload	overload
#shaundiviney STILL number one trending topic  awwww yeeaaa ;)	shaundiviney	Shaun Diviney	shaun diviney
walking my boy is NOT okay #astros  #twins	twins	twins
@plushapo I also said I would contribute, then didn't  #heavyworkload	heavyworkload	heavy workload
@AravindJose man you will not believe me I miss her every day and her #mustory too	mustory	mu story
@newbouldm I love sausage too  #kitchenfire	kitchenfire	kitchen fire
yesterdays kickoff mimosa brunch at #beaconHotel was AMAZING. so much fun... too bad i was too hung over to drink that much!	beaconHotel	beacon Hotel
@mamasvan lol - nope! but i did have complete #camerafail	camerafail	camera fail
80 slides for 20 Minutes #java.net podcast during #JavaONE are done. Already looking forward to present it	JavaONE	javaone
@YuleHeibel sometimes there is nothing but hard work that will do.  Thanks for once again showing the way.Missed #democamp	democamp	demo camp	Demo camp	democamp
@IAmAru I wasn't aware of anything besides that awful facebook app that changes your status for everything  (incl #tags)...care to share?	tags	tags
top SEO tip at #Emetrics : train copywriters in writing search engine friendly copy. This has been number 1 issue for years	Emetrics	Emetrics
#gasol your so sexy. Why are you a #laker	laker	laker
Sipping Banrock Station #Moscato .... I think I have developed a full-fledged flu. Dang it	Moscato	Moscato
Federer down two sets to nil against Tommy Haas      #french open	french	french
#netprophet |Mxit's Herman Heunis next at netprophet... I'm ready	netprophet	netprophet	net prophet	NetProphet
@DeepXP  The 4 lights on the model that control my life ... Already switched one connection to local cable @arcopolc  broadband #FAIl	FAIl	fail	FAIl
i can't believe this is happening. poor #kimi.	kimi	kimi
don't have time or access to trade atm  #forex	forex	forex
@TheCubs Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball	baseball	baseball
its really quiet with UK #SArmy being in MK	SArmy	s army
All of a sudden my #ubuntu partition stopped working. Need to fix it. Oh joy, another 3-4 hours well spent this week on fixing computer.	ubuntu	Ubuntu	ubuntu
#audi is off... next choice #volkswagen passat. Will have a look and testdrive tomorrow.. pff exiting stuff buying a used car	volkswagen	volkswagen
its been 3 minutes since I've seen an earthquake tweet. I'm starting to miss that meme  #earthquake #hawthorn #notreally	earthquake	earthquake	Earthquake
the heat is killing especially with the AC at office not working properly  #summer09	summer09	summer 09	summer09	Summer 09
is currently listening to a live Genesis recording from the "ATTWT" tour in Paris.  Woo, were these guys good back then....  #progrock	progrock	prog rock
@FeriaSpicePower Nope. *sticks head in wardrobe*. Definitely no green. #muftyfail.	muftyfail	mufty fail
@JasonCalacanis I missed the live show today  When is the download coming out? Looking forward to it! #twist	twist	twist
Damn, really busy night for #Chestermere emergency	Chestermere	Chestermere
it'd be great if some opensource luminary would record 'talk' files for #rockbox  the daleky voice is unimpressive	rockbox	rockbox	Rockbox	rock box
I dare say that Speciosia Wandira has got people here thinking  #futuresummit	futuresummit	future summit	Future Summit
Aww, I had a bunch of stuff to say about #hotlesbiantwitterlovin but I got disconnected  good night!	hotlesbiantwitterlovin	hot lesbian twitter lovin
@crazilazigurl sick! no! thats bad  and yes, i am, hehehe. are you? #zachissexy	zachissexy	zach is sexy
Found my red pen, but not before it got all over my new white tank top.  #copyediting	copyediting	copyediting	copy editing
Breaking my no-new-knitting-projects rule to make padded crutch cozies for Jessy Jynx, who broke her leg at #derby Saturday night.	derby	derby
@Life_and_Climbs there'll be many more, given your use of the #climb tag!  We're a friendly bunch!    Welcome to the party...	climb	climb
Oh no! Can't believe Hans Rosling was presenting in my building at #Ericsson yesterday and I didn't know  On the other hand I was WFH...	Ericsson	Ericsson
@F_Gary_Gray #FF @F_Gary_Gray [don't U torching my ride  @DamianLewisWeb @EarlTwitition @SaveLifeonNbc #saveearl #bringbacklife #chuck	saveearl	save earl	save Earl
Switching to FF3.5b seemed to fix it, although I lost Gears   http://is.gd/JRZy #firefox #wordpress	firefox	firefox
Concerning: Greenland ice could fuel severe U.S. sea level rise   http://bit.ly/vQm5Z #globalwarming	globalwarming	global warming
@SquireFred We saw you and @monkiyo on stage all the way over there and were sooo bummed we couldn't watch!!!!    #hbmf	hbmf	hbmf
@alicejam lackluster is KIND...  that was a total embarassment... GAME TWO can and SHOULD be different    #blazer #uprise	uprise	uprise
I may actually order a #drobo and droboshare this week. Too bad it won't be for myself.	drobo	Drobo	drobo
#followFriday @LoriMoreno:  @AmericanWomannn @MissBeckala @GinaATL @LoriMoreno - These ladies make me smile	followFriday	follow friday
@manan got to know. #Sadness. I need a #yayman	yayman	yay man
oh yeah, definitely starting to get sick  going to have to pick up some #Dayquil (fighter of the NyQuil?) later today.	Dayquil	Dayquil	DayQuil
@jamiepotter i tried just doing a twitter search for mine - think it may have been too many characters though  #tweetdare	tweetdare	tweetdare	tweet dare
@CheyanneBrae It only takes once-data lost in #bushfires INCREDIBLE-I can do NOTHING to help - NOW ppl listen - they thought I was idiot	bushfires	bushfires	Bushfires
Won't be seeing the end of the game. The bartender got upset and turned the tv off already  #boobadlosers	boobadlosers	boo bad losers
Stress level is at a code orange, bordering on red... I have the skin of a 12 year old boy to prove it  #stillsmokefree	stillsmokefree	still smoke free	still smokefree
want to go to the Valley Jazz Fest tonight but I need to do more work  #ihaterotoscoping4eva	ihaterotoscoping4eva	I hate rotoscoping 4eva	i hate rotoscoping 4eva
@cultofdusty thats what i love about you, you are as SHAMELESS as i am lol and no  not yet..but it aint over yet either lol #frehleyfriday	frehleyfriday	frehley friday
@BodyForWife Ha! You're too polite! I'm all over the #fuckyoufridays. My body is going into rigor mortis or will be soon.	fuckyoufridays	fuck you fridays
Are #SBdrinks happening in Melb anymore? @ppeach is out of town so I haven't heard of anything	SBdrinks	SB drinks
@airmo i think u r just jealous btw i think #followfriday should #unfollowfriday @airmo...	unfollowfriday	unfollow friday
wishing i was there, so you should go in my place. #brandwkshop http://tr.im/mOXL i see they've got scott bedbury and more.. poor me	brandwkshop	brand wkshop
Trying to coax little Linux netbook into playing #digitalplanet... may have to wait until I get home	digitalplanet	Digital Planet	digital planet
#tek09 attendees are expected to write a report on the conference next week and post it on their respective blogs.	tek09	tek09	tek 09
I missed a full day of #teched09 today	teched09	TechEd 09	teched09	teched 09
#MySQL database gone on my #Synology NAS server.. so much for the website of our little girl	Synology	Synology
@doctorlaura Been there, done that.   I had them all: Opera, Konqueror, Elinks and so on. Waiting for #Chrome to release for Linux.	Chrome	Chrome
no #thedailyshow this week	thedailyshow	The Daily Show	the daily show
Kunitz is a punk. Power Play... DETROIT!  Good play. #redwings	redwings	red wings	Red Wings
Bohemian Rhapsody, classic!  #music	music	music
@mittyoz yeah, I paid for BeeJiveIM a few months ago. Looking forward to it's 3.0 release this/next week too!  #iphone	iphone	iphone	iPhone
#Ferber #waketraining Despite last night's drama <http://tr.im/nhsF>, Rohan slept well (8:15p to 6:00a) three nights in row.	waketraining	wake training
@Philip5150 at the #manics gig.  Toasting your speedy recovery - sorry you can't be here	manics	manics
#postdigital event is being filmed on a flip camera! expensive cameras need not apply!	postdigital	post digital
@ClandestineChic I didn't know about it until last month. Now I'm like a #trueblood fanatic.	trueblood	true blood
wishing I was attending #beatweetup I even bought a badge	beatweetup	bea tweet up	bea tweetup
@KenaSiu Lovely.  #Firefox Have you also had trouble with #GMail past 24 hrs? I have.	GMail	GMail
got an email from my auntie bout fathers day... mothers day w/seven moms but fathers day will consist of 2 dads    #realitycheck	realitycheck	reality check
So DUMB! My hotel room faces the Clift Hotel and didn't know there was a flippin #adtech party!	adtech	adtech
Reading all the tweets and FB statuses about today's football in #Brighton makes me jealous about being c200 miles away	Brighton	Brighton
@rorschach_xxx Poor Mavs. And Yao's out  Makes the Lakers' job easier. #Pity	Pity	pity	Pity
I can't w8 2 buy the album  da songs r AH-MAZING!I had 2 stay awake till 1am 2attend the chat.I got them stuck in my head #jonasnewsongs	jonasnewsongs	jonas new songs	Jonas new songs
@mchristian oh no  that does really suck #sackofdicks... let me know if there's anything I can do to help. for reals.	sackofdicks	sack of dicks
I knew why I  gave it a break... Stormrise is not the easy one.  Always dying in the fields... #GamePorts	GamePorts	Game Ports
I'm sorry but "Great" and "British food " aren't usually heard together  #Masterchef	Masterchef	Masterchef	Master chef
Awesome last minute drama at Indy 500 bump day! Andretti, Hunter-Reay are in. Tagliani is crushed  #nascar #Indycar #Indy	Indy	Indy
Day 3 and my ateneo class #yahoogroup is still lost in outer space.  No reply from #yahoo tech support...........seething	yahoo	yahoo
this speech is hard  #AllTimeLowSuckMoreCockThanAWellPaidWhore	AllTimeLowSuckMoreCockThanAWellPaidWhore	All time low suck more cock than a well paid whore	All Time Low Suck More Cock Than A Well Paid Whore
I WISH I WAS IN SUNTEC NOW AT #awaresg.  I have never been prouder of my country. Take #aware back from the homoprobes.	aware	aware
@mistressmia hey babe! Missed u at #rockplat  yes back in aus June august nov. Will u be around?	rockplat	rock plat
Has just spent the afternoon attacking trees and brambles in the garden. Now onto coursework  #bramblesfightback	bramblesfightback	brambles fight back	brambles fightback
Looks like rain and thundershowers for Orlando Tues and Wed next week.  #ibmcf09	ibmcf09	ibmcf 09	ibmcf09
@Bookfoolery LOL I love your acceptance speech  #beatwittyparty	beatwittyparty	bea twitty party
a bacon roll and a tea and the (hack)day is your friend  #openhacklondon	openhacklondon	openhacklondon	openhack london	open hack london
@shoalsbiz is prob having cache issues right now.  It should fix itself, but I'll let @ev / someone @Twitter know about it too. #shoalsbiz	shoalsbiz	shoals biz
Wondering what I am going to watch now idol is finished  and wondering if #adamlambert has a twitter account..	adamlambert	adam lambert
did any one check new #google #webmaster tool looks.? When i switch off to new look it decreased my links	webmaster	webmaster
@gfalcone601 Giooo *-* you never talk with me ( I know that have 15151515 persons for you respond  love. #brasil xx	brasil	Brasil	brasil
I'm-a #satchat 'tin	satchat	satchat	sat chat
@AngryBritain Thank goodness for that, I was concerned.  See you on  #moanmonday	moanmonday	moan monday
@KatHernandez Your love is appreciated  #sytycd	sytycd	sytycd
#LOST #WFTB #s1e9 @Sefus OK my bad. Misunderstood before. Sowwy.	LOST	LOST
I's didn know bout #pussycatisland no niptini for me	pussycatisland	pussycat island	pussy cat island
@kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic & he has a pork loin in the fridge #kosherFAIL	kosherFAIL	kosher FAIL	Kosher fail
@HoneyDrop74  ha been bored as hell haha! we all been trying to get a trendy topic of #TwitterRemix	TwitterRemix	Twitter remix	Twitter Remix
Jay Leno's last night on the Tonight Show   #tonightshow	tonightshow	tonight show
Everyone getting good now #fitfam #bluebox This was an unpleasant surprise	bluebox	blue box	Bluebox
#myweakness Sex, drugs, shaking my ass for hours at a time, techno, and most importantly, Zac	myweakness	my weakness
buh movie be all sappy now  #BringTaraBack	BringTaraBack	bring Tara back	bring tara back
Im starting to rethink my "I cant stand cold places" stance..this heat, humidity is unbearable & i cant stand the ac no more  #meltingaway	meltingaway	melting away
@joannayoung i see that you also would like to have been at #sobcon - at least you are missed there	sobcon	sob con
Good Morning Resistance Troops!  #terminator #sarahconnor #tscc	terminator	terminator
last day of #tourdeblono before i leave on the greyhound at 7pm.  thanks to everyone who helped make this trip a vacation	tourdeblono	Tour de BloNo	tour de blono
Great, just great. #Cookoutofthecentury and my wife's tummy hurts. Just. Great.	Cookoutofthecentury	Cookout of the century
but to aggregate uplink, i must  #barcampbkk3	barcampbkk3	bar camp bkk3
#nri #news #india Digital Transition, No locals  http://tinyurl.com/mcwbmf	india	india
noooooooooooooooooo not the wall!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!  #99 #nascar	nascar	nascar	Nascar
Watching the #bostonmarathon live feed at universalsports.com.  Found out that Firefox wants nothing to do with the live feed  IE ok.	bostonmarathon	boston marathon	Boston marathon
I feel like the only developer not invited to #swfoocamp	swfoocamp	SW foo camp	sw foo camp	swfoo camp
@munzee the 14-24 is definitely going... sold the 70-200 and 200F2 is  too HEAVY  Think I'll get away with the 50/85? #Twedding	Twedding	Twedding
@onzeuponatime Hehe yeah, the beer bike is becoming a normal thing in #Amsterdam. Quite fun imho  http://bit.ly/B6J8j	Amsterdam	Amsterdam
Listening to @PRI World Books podcast, which I discovered via #podcastfriday. I wish more would participate in that.	podcastfriday	podcast friday
@Switch42 @mishacollins My current fave is Burt's Bees - I love the minty tingle + it's all natural.  #mishaneedschapstick	mishaneedschapstick	Misha needs chapstick	misha needs chapstick
It's 4 in the morning here, which means we should be getting waking-up LeakyCon tweets soon... #notatleaky	notatleaky	not at leaky
I can has tweets? I overtweeted & Twitter kicked me out for end of #savotes.	savotes	SA votes	sa votes
#3hotwords	3hotwords	3 hot words
i can't belivie that Lukas went home in #robinson	robinson	Robinson
people keep complaining about the 1 way system in #Glasgow, but as far as I know u can only go 1 way @ a time anyway  #fact	Glasgow	glasgow
@bareknucks - Great. I'll put something together and let you know! Go #Nuggets - BTW, I'm the voter in your poll	Nuggets	Nuggets
#native	native	native
Bittersweet morning. Liverpool squished West Brom but came in second behind #Manure.   /	Manure	Manure
@jameseh they wouldn't allow the car in without a full V5.  ours didnt arrive in the post before leaving  #dumball	dumball	dum ball	Dumball	dumball	dumb all
the #nucks are done  .... my life is over..	nucks	nucks
Thanks to my tantrum throwing havoc creator niece, I failed to notice that even @rehabc bid for me!  #twpp.	twpp	twpp
Working on something very interesting. Can't tell ya much, otherwise will lose competitive advantage  #Business #Marketing	Marketing	Marketing
Oh crap. #Hoppusday is over	Hoppusday	Hoppus day
Had an unfortunate string of dead ends in #sharepoint dev projects yesterday and today. It's bringin' me down	sharepoint	sharepoint	SharePoint
I am still thinking about Franz Ferdinand! MIA brought it. The Killers seemed over-produced & little audience interaction.  #Coachella	Coachella	Coachella
Pondering digestive test results = no wheat (already do that) no cow's milk dairy (ohnoes!)  Goat's milk  here I come  #foodfail	foodfail	food fail
Boo - I finally have a Sunday free and head to Hyde Park to try some #inlineslalom but no ones here	inlineslalom	inline slalom
Still no #Graze box yet	Graze	Graze
@renu19 yeah. Was planng for Whistler - beautiful place, but need sme more days for it. Maybe next time  #vancouver	vancouver	vancouver
digging through invoice.scm to get more decent #gnucash invoices - customizations beyond the provided mechanisms are cumbersome	gnucash	gnu cash	GNU cash
Trains don't run so well on Sunday. Missed previous train by 5 mins, waiting an hour for next train. Aiming for #r2picnic for 2 now	r2picnic	r2 picnic
Bar was full at #wvfn, so I am craning my already sore neck to see the game. Can't hear anything but geek speak tho!  #gonuggets	wvfn	wvfn	WVFN
@ArunGeoJohn you still get last.fm ? My account expired last month or something  #lastfm #love	lastfm	lastfm	last fm
Why must the world spin so fast? Woooooozy  #illness	illness	illness
@DavidArchie ...books in the Philippines esp novels bec they say they're not educational. Help please!  #bookblockade	bookblockade	book blockade
Bah! Hairline fracture in the impellor hub  #titsuptuesday	titsuptuesday	tits up tuesday
@sixinthenw go ahead  we will be colder tomorrow night  going to have to put plastic on raised beds then, poor maters #twitter4vg	twitter4vg	twitter 4 vg
@AnnelieNaes Will probably miss #frankie95 as my job situation feels unstable in this economy.	frankie95	frankie95	frankie 95	Frankie 95
rt @brokep: One of the artists from #spectrial just released their new album... on The Pirate Bay  http://thepiratebay.org http://tr. ...	spectrial	spectrial	spec trial
hey #milwaukee peeps! come on down to the art bar tonight from 7:30-9pm. NO COVER. look for me hitting some drums.  #live #jazz #free #fb	jazz	jazz
@honeychild27 You're the only person to have joined in  #penilewords	penilewords	penile words
@tamih    ... i will take that as a challenge #sadrakeshaker09	sadrakeshaker09	sad rake shaker 09	Sad rake shaker 09	sadrakeshaker09
@davidgarrido For the final weekend of the season I predict Hull and Boro  to go down.Liverpool 2nd.Monaco Lewis Hamilton #forecastfriday	forecastfriday	forecast friday
frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day	frenchieb	frenchie b
okay, everyone needs to tweet #hoppusday cuz that's just too cool that mark is the number one topic  happiness is dorky shit	hoppusday	Hoppus day	hoppus day
@darthvader Why'd you let Kahmunrah shake you off with *you've got too much going on*? You rock harder than him  #NATM2	NATM2	NATM 2	NATM2
@MinamoKaze I've been catching Witch mice with ZLM/Polar/Swiss. I can't seem to catch that Nibbler mouse though.  #mhstrategy	mhstrategy	mh strategy	MH strategy
Endlessly fascinated by the dual engine monitor in this cab. Then it reminds me of #sustainability fail . Sorry next gen.	sustainability	sustainability
Its quiet disturbing but some things cant just be ignored ..   http://bit.ly/xz8uF      #savefoodday	savefoodday	save food day
Smoked duck po boy jacqueimos jackson sq amazing! And $5..out of boudin tho  #fqfest	fqfest	fq fest	FQ Fest	fqfest
No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps	topicmaps	topic maps
